,full_mean,full_std,sub_mean,delta
GB-META,0.9237577705275785,0.004583669587475961,0.9225373203785718,0.0012204501490066244
CatBoost,0.9227837091374833,0.0031565376734306624,0.9163304033122402,0.006453305825243061
ResAttDNN,0.9223419360296194,0.004163093006268962,0.9017935751085774,0.020548360921042064
Soft Vote,0.9220933970414021,0.00291879397321279,0.917081571689299,0.005011825352103094
Weighted Vote,0.9220933362874003,0.0029187304394103315,0.917081571689299,0.005011764598101265
XGBoost,0.9206730188912836,0.00364546133921236,0.9150907466449,0.005582272246383635
LightGBM,0.9182009309394156,0.003148455252172308,0.9139515057263168,0.00424942521309879
Decision Tree,0.9173499315166206,0.004443945338344089,0.9153424958050422,0.0020074357115783537
Random Forest,0.9165321054679755,0.0038223782810528606,0.9136272801800894,0.002904825287886048
MLP,0.9155796284172674,0.004998246028286829,0.9082144316537222,0.00736519676354519
Logistic Regression,0.7732855345403878,0.0029786048854008058,0.7410040534246726,0.03228148111571527
