rank,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,ece,roc_auc_ovr_macro,pr_auc_macro,macro_f1_ci_low,macro_f1_ci_high,macro_f1_ci,train_seconds,oof_seconds,gpu
1,GB-META,0.9449375,0.9152757082068005,0.9243406007889322,0.9443824885928395,0.9442003192124021,0.9152757082068005,0.9399814498679181,0.005144294201651312,0.9972363638109832,0.9573961423633391,0.9173922542992541,0.9305347078715247,"92.434% [91.739, 93.053]",0.0,0.0,False
2,Decision Tree,0.938875,0.9091606945814231,0.9189089394231443,0.9394335176554134,0.9478827944215751,0.9091606945814231,0.9342768061813453,0.005450348808639099,0.9955809540954509,0.9353313795723049,0.9121730221112883,0.9251614748640252,"91.891% [91.217, 92.516]",0.3496701000000044,0.0,False
3,Random Forest,0.9413125,0.9127937952094902,0.9179852795645894,0.9409697959848559,0.9264883266038705,0.9127937952094902,0.935999861077391,0.046708825262850015,0.9958944683889807,0.9484070226037304,0.9114472713973637,0.924406113249498,"91.799% [91.145, 92.441]",2.551801400000002,0.0,False
4,Soft Vote,0.9435625,0.9166889949192728,0.9165936837346852,0.9434981520958364,0.9177155734800494,0.9166889949192728,0.9385041025392395,0.013585571676165286,0.9970284755027818,0.956954172067533,0.91008044053022,0.9225829670531176,"91.659% [91.008, 92.258]",0.0,0.0,False
5,Weighted Vote,0.9435625,0.9166889949192728,0.9165936837346852,0.9434981520958364,0.9177155734800494,0.9166889949192728,0.9385041025392395,0.013585579572958497,0.997028492888223,0.9569544015466147,0.91008044053022,0.9225829670531176,"91.659% [91.008, 92.258]",0.0,0.0,False
6,XGBoost,0.943125,0.9157385932906862,0.9163885497775386,0.9430628225811852,0.9188091755246168,0.9157385932906862,0.9380593685233538,0.009279189442632138,0.9969545866920981,0.9555725840063161,0.9100596553597307,0.9224729233674883,"91.639% [91.006, 92.247]",13.065799899999988,19.719043600000006,False
7,LightGBM,0.943375,0.9152217852749073,0.9155237521958752,0.94328525468591,0.9172889809507024,0.9152217852749073,0.9383259171061843,0.01110898341179006,0.9969579933567758,0.9560890554597811,0.9089087068612282,0.9216335122041555,"91.552% [90.891, 92.163]",3.3531264000000007,6.622983800000007,False
8,CatBoost,0.943125,0.9178866058598272,0.9149584345974545,0.9433328317661535,0.9136217685591121,0.9178866058598272,0.9380155265804742,0.018380985768900293,0.9970572869720311,0.9560951189857592,0.9088573626185354,0.9209181893354375,"91.496% [90.886, 92.092]",55.67634100000001,114.83915610000003,False
9,ResAttDNN,0.9401875,0.917818520062529,0.9125582305670403,0.9406746492745097,0.9115583781629877,0.917818520062529,0.9349292277612147,0.07258559723231901,0.9969129021627261,0.953872134087191,0.9063674242436098,0.9182351451383315,"91.256% [90.637, 91.824]",114.3217512,0.0,False
10,MLP,0.932625,0.9030039000390039,0.9116973720740461,0.9321277934801782,0.9303651115050559,0.9030039000390039,0.9265253976852088,0.10399997842056721,0.9954966143659391,0.9431674654287722,0.9049026424754565,0.9179306035658156,"91.170% [90.490, 91.793]",42.70931760000002,0.0,False
11,Logistic Regression,0.7666875,0.7438795984332114,0.7274418922188606,0.7619677387715501,0.7409794414890482,0.7438795984332114,0.7473183664287933,0.04301368742469945,0.986734330833062,0.843997670816157,0.7206233332531585,0.7345180020878541,"72.744% [72.062, 73.452]",31.421753900000002,0.0,False
