rank,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,ece,roc_auc_ovr_macro,pr_auc_macro,macro_f1_ci_low,macro_f1_ci_high,macro_f1_ci,train_seconds,oof_seconds,gpu
1,Soft Vote,0.99475,0.9664491653055078,0.9667279076885668,0.9946776160825006,0.9675497041835818,0.9664491653055078,0.9914098782385288,0.002794824037049508,0.9997542358011492,0.9814355363469353,0.9557509847419291,0.9762302980534623,"96.673% [95.575, 97.623]",0.0,0.0,False
2,Weighted Vote,0.99475,0.9664491653055078,0.9667279076885668,0.9946776160825006,0.9675497041835818,0.9664491653055078,0.9914098782385288,0.002793477884677654,0.9997542680310639,0.9814369023199906,0.9557509847419291,0.9762302980534623,"96.673% [95.575, 97.623]",0.0,0.0,False
3,XGBoost,0.99475,0.9697640140267269,0.9658300528254449,0.9946857940124659,0.963651704273259,0.9697640140267269,0.9914114865788469,0.0013655627947316467,0.9997612560331826,0.9823916337844959,0.9554461205058536,0.9752704848588422,"96.583% [95.545, 97.527]",47.19138360000011,95.47504630000003,False
4,Random Forest,0.99425,0.9539208681976546,0.9600412548603284,0.9940123990924169,0.9718417180977184,0.9539208681976546,0.9905989840238328,0.013350499901286715,0.9997134447006418,0.981745118814005,0.9403557708354414,0.9747064466393044,"96.004% [94.036, 97.471]",8.816739699999971,0.0,False
5,LightGBM,0.994,0.9611928801300262,0.9582678921349601,0.9939768308366176,0.9562490528771209,0.9611928801300262,0.9901782141804927,0.0021785849753972394,0.9997712067548079,0.979924093015844,0.9395425125927549,0.9732491594576084,"95.827% [93.954, 97.325]",15.361724699999968,27.961406099999977,False
6,CatBoost,0.994,0.9615779612923345,0.9464753522552768,0.9939257081737564,0.937400645413035,0.9615779612923345,0.9901878838952979,0.006632460886842979,0.9997208188831559,0.9785878026763825,0.927031378817743,0.9671841844169307,"94.648% [92.703, 96.718]",143.32704799999988,253.1828899000002,False
7,GB-META,0.9946875,0.9415619749537072,0.9437999772227902,0.994478176320484,0.9555716911512151,0.9415619749537072,0.9913094451283743,0.0008866976424213129,0.9997139216505805,0.9776601938060377,0.921202997949017,0.9652483974865522,"94.380% [92.120, 96.525]",0.0,0.0,False
8,ResAttDNN,0.987875,0.9546197233402116,0.9276627813680571,0.9878894448924548,0.9075459265337859,0.9546197233402116,0.9801874375232728,0.30041913432479045,0.9991948276192774,0.9561904569651937,0.9098623375085737,0.9449950987717914,"92.766% [90.986, 94.500]",223.27923780000015,0.0,False
9,MLP,0.986125,0.9518026312020577,0.9252389992337374,0.9858815929170515,0.9094902017282296,0.9518026312020577,0.9773828001309036,0.30078302547937186,0.9991598250074334,0.9549263738488937,0.9123715720592903,0.9380166365236967,"92.524% [91.237, 93.802]",86.41350020000004,0.0,False
10,Decision Tree,0.9855625,0.9314046644036061,0.9035271255388259,0.9858048711224716,0.8829734616345034,0.9314046644036061,0.976481289491137,0.003635771097426048,0.9811567155405844,0.911414480552839,0.87919957209358,0.9250241617972652,"90.353% [87.920, 92.502]",1.2413040999999794,0.0,False
11,Logistic Regression,0.9775,0.9339576376308658,0.8830694715412969,0.9777147366359268,0.851085843399562,0.9339576376308658,0.963544390862738,0.014603569513725285,0.9989079799212531,0.9333911426366007,0.8663250316628882,0.9031287225283391,"88.307% [86.633, 90.313]",28.172122100000024,0.0,False
