rank,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,ece,roc_auc_ovr_macro,pr_auc_macro,macro_f1_ci_low,macro_f1_ci_high,macro_f1_ci,train_seconds,oof_seconds,gpu
1,GB-META,0.9855625,0.9559126514352876,0.9422594075926446,0.9858399896664243,0.9309876461366138,0.9559126514352876,0.9730783221102497,0.0016670589166540488,0.9993728977621881,0.9685662461684684,0.9337484148872176,0.9509115798784525,"94.226% [93.375, 95.091]",0.0,0.0,False
2,LightGBM,0.98475,0.9620857772113537,0.9417086037995418,0.9851854113429281,0.9258576713488272,0.9620857772113537,0.9716412136659168,0.005038320388097725,0.9992840030303398,0.9610414611160765,0.9337985762500897,0.9500015685387868,"94.171% [93.380, 95.000]",3.226695099999972,10.550215400000013,False
3,XGBoost,0.983625,0.9615036022066284,0.9392002941564181,0.9841135596865553,0.9219665383538169,0.9615036022066284,0.9696278408706277,0.003801818358971508,0.9991294699484075,0.9667440167449071,0.9308619803094347,0.9477556924046839,"93.920% [93.086, 94.776]",20.650517999999977,37.5588219,False
4,Soft Vote,0.984125,0.9621002993606519,0.9384622398867265,0.9846648086852084,0.9207164604120143,0.9621002993606519,0.9705176992555944,0.005389103014137824,0.9991172994731267,0.9658246773124353,0.9303737275861903,0.9466839135031848,"93.846% [93.037, 94.668]",0.0,0.0,False
5,Weighted Vote,0.984125,0.9621002993606519,0.9384622398867265,0.9846648086852084,0.9207164604120143,0.9621002993606519,0.9705176992555944,0.005378759029921585,0.9991196658542755,0.9658317475338161,0.9303737275861903,0.9466839135031848,"93.846% [93.037, 94.668]",0.0,0.0,False
6,Random Forest,0.9836875,0.958371003815912,0.9341200614437639,0.9843162067995443,0.9172660156579049,0.958371003815912,0.9696549401450298,0.07909638762016617,0.9978664752513957,0.9623793592828174,0.9259860508918759,0.9425862468292009,"93.412% [92.599, 94.259]",3.3672875999999974,0.0,False
7,CatBoost,0.9803125,0.956071530538528,0.9302254324618868,0.9809841207012591,0.9109219929767628,0.956071530538528,0.9634917892169997,0.011043054097186814,0.9987976527348247,0.9603443743435525,0.9215474135035354,0.938930619269626,"93.023% [92.155, 93.893]",32.75212690000001,72.44587790000008,False
8,ResAttDNN,0.971375,0.942158459553735,0.9009285973495992,0.97290055047495,0.872175482660382,0.942158459553735,0.9474067012246735,0.13857145768117385,0.9931147227029472,0.9293895226631228,0.8920579654403514,0.9103704433480289,"90.093% [89.206, 91.037]",132.5198583,0.0,False
9,Decision Tree,0.96425,0.9448335398894228,0.8943468704687099,0.9670781736356739,0.8636642913580065,0.9448335398894228,0.9353670161890387,0.014560695056688725,0.9914079851293227,0.9179628262236491,0.8862751937439703,0.9028573132714555,"89.435% [88.628, 90.286]",0.33957340000000613,0.0,False
10,MLP,0.9545,0.9009361316789588,0.8650491144298181,0.9558447490568646,0.8459493191644156,0.9009361316789588,0.916539192932837,0.17735125995220177,0.9923981338873805,0.8807338269424168,0.8553235468408248,0.8749751250905891,"86.505% [85.532, 87.498]",34.965581600000064,0.0,False
11,Logistic Regression,0.853625,0.7676139604257483,0.6779492385163345,0.8568253807821686,0.6705254031778656,0.7676139604257483,0.7498350771468079,0.04821830820737005,0.979682538290518,0.7544665716027397,0.6678547151894634,0.6883037294293817,"67.795% [66.785, 68.830]",21.329358000000013,0.0,False
