rank,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,ece,roc_auc_ovr_macro,pr_auc_macro,macro_f1_ci_low,macro_f1_ci_high,macro_f1_ci,train_seconds,oof_seconds,gpu
1,Soft Vote,0.8085,0.6642960128129283,0.6322007182448679,0.8233232413405019,0.6287227144917866,0.6642960128129283,0.7393554784517863,0.022745389783104232,0.9742833809405876,0.6703776802124007,0.6156969821719368,0.6486607570702178,"63.220% [61.570, 64.866]",0.0,0.0,False
2,Weighted Vote,0.8084375,0.6636559569556373,0.6318285752419482,0.823272825762894,0.6284615448862456,0.6636559569556373,0.7392619742091063,0.023306865702683678,0.9742864081345605,0.6703972416586446,0.6153282316281563,0.6483510071148556,"63.183% [61.533, 64.835]",0.0,0.0,False
3,LightGBM,0.8105625,0.6500326278527312,0.6240987682540217,0.8247596310998854,0.6218874415396656,0.6500326278527312,0.7409239317968065,0.02460840833195309,0.9742103454271976,0.6624749924161455,0.6063307164704079,0.6413921557706873,"62.410% [60.633, 64.139]",7.5273731999999995,13.055400200000001,False
4,XGBoost,0.8095625,0.6439743886970893,0.6197087330397333,0.8234159798771243,0.6203939069936776,0.6439743886970893,0.7390165633057715,0.02537610996031322,0.9736563141527521,0.6608639452460714,0.6008373705138611,0.638170234914397,"61.971% [60.084, 63.817]",21.86548880000001,34.21377340000001,False
5,CatBoost,0.795125,0.6786284766354035,0.6127135319772673,0.8127417734407214,0.5934023703791798,0.6786284766354035,0.7255808370320826,0.022877563905365148,0.9724620230244871,0.6535349496421767,0.597918270300043,0.6288952477230995,"61.271% [59.792, 62.890]",45.756497700000004,106.9113615,False
6,ResAttDNN,0.7928125,0.6760392800135063,0.6036311207582862,0.81026165203497,0.5875960992003056,0.6760392800135063,0.721588794396296,0.10396838172942144,0.9618953436033397,0.623433079502715,0.5882170278927206,0.6199118840527199,"60.363% [58.822, 61.991]",115.70935219999998,0.0,False
7,GB-META,0.814875,0.598804471954854,0.6021463874339046,0.8148789661150034,0.6091373102274157,0.598804471954854,0.7383410445765495,0.014286441778624844,0.9754939421768162,0.6723727126502321,0.5825031467577814,0.6209785032322603,"60.215% [58.250, 62.098]",0.0,0.0,False
8,Decision Tree,0.7753125,0.6904200299886611,0.6020159943899407,0.797243489065225,0.5785667759721201,0.6904200299886611,0.7057654676314905,0.048848237206637,0.951157339087944,0.610324958316678,0.5883767693547348,0.616745860432256,"60.202% [58.838, 61.675]",0.9266854000000109,0.0,False
9,Random Forest,0.806875,0.5595213071668798,0.558945009355643,0.8149896564865298,0.5776329113192189,0.5595213071668798,0.7313082300619704,0.03617274668163223,0.9692339946775957,0.6403602592502156,0.5368207464993161,0.5808612710685399,"55.895% [53.682, 58.086]",6.63601580000001,0.0,False
10,MLP,0.77075,0.5984311706606777,0.543933224965939,0.7897031174431471,0.5537982587094613,0.5984311706606777,0.6966607484981098,0.13179175517024802,0.9648925654230919,0.5637907340166843,0.5281329678506701,0.5603256524608107,"54.393% [52.813, 56.033]",38.421400499999976,0.0,False
11,Logistic Regression,0.7329375,0.5429897890746151,0.4792300590089627,0.7498451693096881,0.47642942063476956,0.5429897890746151,0.6465843764900332,0.01950875996054431,0.9497029334513032,0.49384304722581707,0.46629296426699196,0.4936178992203997,"47.923% [46.629, 49.362]",30.6264892,0.0,False
