model,macro_f1,delta_vs_reference,ci_low,ci_high,ci_excludes_zero,mcnemar_p,mcnemar_p_holm,mcnemar_significant,n_discordant
Decision Tree,0.9189089394231443,0.0054316613657877655,0.003105847655250471,0.007834531567429656,True,2.7655413009575133e-07,1.0232502813542799e-05,True,349
Random Forest,0.9179852795645894,0.00635532122434268,0.003261697654991111,0.009457896166999482,True,0.0006880412349851298,0.021329278284539024,True,282
Soft Vote,0.9165936837346852,0.007746917054246905,0.003959121582992611,0.011325933626375658,True,0.07592696298255788,1.0,False,140
Weighted Vote,0.9165936837346852,0.007746917054246905,0.003959121582992611,0.011325933626375658,True,0.07592696298255788,1.0,False,140
XGBoost,0.9163885497775386,0.007952051011393513,0.004243191176733449,0.011499661743577543,True,0.048271810851710284,0.9654362170342057,False,201
LightGBM,0.9155237521958752,0.00881684859305687,0.005103058601344848,0.012425965880054138,True,0.07443894876209113,1.0,False,181
CatBoost,0.9149584345974545,0.009382166191477581,0.005001319055532111,0.013314170774218455,True,0.033270762967007574,0.7036735801922911,False,173
ResAttDNN,0.9125582305670402,0.01178237022189188,0.0068774963305962165,0.016694733369478132,True,4.063882358599579e-05,0.0014223588255098526,True,334
MLP,0.9116973720740461,0.01264322871488599,0.01006447945203801,0.015331322857543317,True,1.5751655275709474e-21,7.088244874069263e-20,True,423
Logistic Regression,0.7274418922188606,0.19689870857007152,0.18946619601076456,0.2038683304118811,True,0.0,0.0,True,3106
