model,macro_f1,delta_vs_reference,ci_low,ci_high,ci_excludes_zero,mcnemar_p,mcnemar_p_holm,mcnemar_significant,n_discordant
Soft Vote,0.9667279076885668,-0.02292793046577657,-0.04492120013518833,-0.003671976166982944,True,1.0,1.0,False,29
Weighted Vote,0.9667279076885668,-0.02292793046577657,-0.04492120013518833,-0.003671976166982944,True,1.0,1.0,False,29
XGBoost,0.9658300528254449,-0.022030075602654686,-0.04464775898371032,-0.002419342237265,True,1.0,1.0,False,29
Random Forest,0.9600412548603284,-0.016241277637538243,-0.04258581338570042,0.011671181370703311,False,0.360196133386002,1.0,False,43
LightGBM,0.9582678921349601,-0.014467914912169921,-0.041708334467735024,0.01414776976343766,False,0.14466148777280496,1.0,False,47
CatBoost,0.9464753522552766,-0.0026753750324863823,-0.01856139784699772,0.011451877639861371,False,0.1272626636204396,1.0,False,43
ResAttDNN,0.9276627813680571,0.016137195854733055,-0.008873645556825774,0.03662462718674188,False,2.6918829480073798e-17,8.018524633314582e-16,True,163
MLP,0.9252389992337375,0.01856097798905265,-0.005673300507690168,0.041040985279630335,False,8.874300126411093e-24,3.460977049300326e-22,True,183
Decision Tree,0.9035271255388259,0.04027285168396433,0.010947850336974365,0.07090382650455705,True,3.882988027718272e-26,1.8638342533047704e-24,True,188
Logistic Regression,0.8830694715412969,0.060730505681493296,0.03141088978373442,0.0864415100977144,True,1.9454765657110237e-54,1.070012111141063e-52,True,311
