model,macro_f1,delta_vs_reference,ci_low,ci_high,ci_excludes_zero,mcnemar_p,mcnemar_p_holm,mcnemar_significant,n_discordant
LightGBM,0.9417086037995418,0.0005508037931027943,-0.0042388752478907275,0.005164705739734192,False,0.09928563477135788,0.6949994433995051,False,53
XGBoost,0.9392002941564181,0.003059113436226446,-0.0019788747704520605,0.007764405910324337,False,0.00037036791242240486,0.005555518686336073,True,71
Soft Vote,0.9384622398867265,0.003797167705918092,-0.0006879393637147846,0.008371379962429377,False,0.004850300457042111,0.06305390594154744,False,61
Weighted Vote,0.9384622398867265,0.003797167705918092,-0.0006879393637147846,0.008371379962429377,False,0.004850300457042111,0.06305390594154744,False,61
Random Forest,0.9341200614437639,0.008139346148880677,0.00248900123092744,0.013510166327722497,True,0.0037316266007680794,0.05224277241075311,False,100
CatBoost,0.9302254324618868,0.012033975130757768,0.0070614141109680536,0.01681960376044708,True,3.348571752671894e-13,7.701715031145356e-12,True,130
ResAttDNN,0.9009285973495992,0.04133081024304541,0.034203248536711556,0.048939840559338206,True,2.7431137933090414e-39,8.229341379927125e-38,True,297
Decision Tree,0.8943468704687099,0.04791253712393473,0.040840657622226134,0.05588210349895345,True,7.88318911438103e-63,2.9167799723209812e-61,True,413
MLP,0.8650491144298181,0.07721029316282646,0.06872005968657015,0.08580199877328498,True,4.933617665648749e-97,2.220127949541937e-95,True,563
Logistic Regression,0.6779492385163345,0.2643101690763101,0.2534024285614374,0.274859088445942,True,0.0,0.0,True,2167
