model,macro_f1,delta_vs_reference,ci_low,ci_high,ci_excludes_zero,mcnemar_p,mcnemar_p_holm,mcnemar_significant,n_discordant
Soft Vote,0.6322007182448679,-0.030054330810963314,-0.0442639718864707,-0.017556217618119513,True,0.0020568053814314195,0.030852080721471293,True,1074
Weighted Vote,0.6318285752419482,-0.02968218780804366,-0.0439648576970178,-0.017293325953869357,True,0.00182841129392492,0.02925458070279872,True,1071
LightGBM,0.6240987682540217,-0.02195238082011708,-0.034891723615840704,-0.010459504054350829,True,0.03298213989193546,0.42876781859516094,False,1017
XGBoost,0.6197087330397333,-0.0175623456058287,-0.030316991099790372,-0.0049434887257302955,True,0.007260543803604112,0.10164761325045757,False,979
CatBoost,0.6127135319772672,-0.010567144543362605,-0.029197046241338127,0.0064700948978227675,False,2.287253284637617e-15,5.718133211594043e-14,True,1580
ResAttDNN,0.6036311207582863,-0.001484733324381704,-0.02280343773256622,0.019631506377232148,False,5.1451427183278286e-17,1.5435428154983486e-15,True,1763
Decision Tree,0.6020159943899407,0.0001303930439638945,-0.018762630197542,0.01869528493456799,False,1.65609177489868e-41,5.79632121214538e-40,True,2193
Random Forest,0.5589450093556428,0.04320137807826174,0.024197558441868015,0.06347460439482461,True,1.2634001221662042e-05,0.0002147780207682547,True,846
MLP,0.543933224965939,0.058213162467965596,0.03470047866815001,0.08238920151131579,True,4.100570577539172e-52,1.6812339367910605e-50,True,2154
Logistic Regression,0.4792300590089627,0.12291632842494188,0.09952210975211118,0.14480976355062536,True,2.190134092791752e-137,1.1169683873237935e-135,True,2757
