ablation,kind,combiner,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_weighted_f1,metric_macro_precision,metric_macro_recall,metric_kappa,metric_mcc,delta,ci_low,ci_high,significant,mcnemar_p,note,n_discordant
full stack (reference),reference,gbmeta/logit,0.9449375,0.9152741603751469,0.9243410065397378,0.9443809855609581,0.9441947927188628,0.9152741603751469,0.9399001308672945,0.939980821091573,0.0,0.0,0.0,False,1.0,,
-catboost,leave-one-out,gbmeta,0.9448125,0.9151923736164526,0.9242490945662543,0.9443017896061072,0.9439952751477033,0.9151923736164526,0.9397643111542043,0.9398387887873194,-9.191197348357161e-05,-0.0012634587677620296,0.0010976851425226523,False,0.9169652366288644,stack without catboost,92.0
-lightgbm,leave-one-out,gbmeta,0.9454375,0.9157314155556161,0.924857256287474,0.9449046656487172,0.9452151701249334,0.9157314155556161,0.9404455054801135,0.9405552543516796,0.0005162497477361194,-0.0006305010866587441,0.0015737253791095523,False,0.4338480657664391,stack without lightgbm,80.0
-xgboost,leave-one-out,gbmeta,0.944875,0.9151985274801174,0.9243024195208308,0.9443407543728081,0.9446406637223361,0.9151985274801174,0.9398317676269098,0.9399476979490273,-3.858701890702143e-05,-0.0011531443972891242,0.0010688837707675952,False,1.0,stack without xgboost,79.0
only catboost,single-base,gbmeta,0.945375,0.9156988026716671,0.9245737106265265,0.9448650918829639,0.9437758525044497,0.9156988026716671,0.9403778310228342,0.940468609612799,0.00023270408678865984,-0.0011653612037219817,0.0015605343213226357,False,0.5618863668933678,,107.0
only lightgbm,single-base,gbmeta,0.945125,0.9154374002937629,0.9245759788152802,0.9446334531184045,0.9450604660076412,0.9154374002937629,0.9401047699234397,0.9402408266985096,0.00023497227554236666,-0.0015448555287295245,0.002005474086911485,False,0.8707092210836658,,151.0
only xgboost,single-base,gbmeta,0.9435,0.913860982310295,0.9229401389319486,0.9429912418553046,0.9426760205946642,0.913860982310295,0.9383315127756159,0.9384025281632827,-0.0014008676077892357,-0.0029763083769512753,0.0001088999865543068,False,0.07149661068027661,,149.0
soft vote (no meta-learner),combiner,soft_vote,0.9435625,0.9166889949192728,0.9165936837346852,0.9434981520958364,0.9177155734800494,0.9166889949192728,0.9384124005915274,0.9385041025392395,-0.007747322805052637,-0.01126289943144955,-0.0040827873656333205,True,0.08011831372763421,,144.0
accuracy-weighted vote,combiner,weighted_vote,0.9435625,0.9166889949192728,0.9165936837346852,0.9434981520958364,0.9177155734800494,0.9166889949192728,0.9384124005915274,0.9385041025392395,-0.007747322805052637,-0.01126289943144955,-0.0040827873656333205,True,0.08011831372763421,,144.0
meta-learner on raw probabilities,combiner,gbmeta,0.944625,0.914982423689472,0.9230852577211498,0.944120996500253,0.9395910445446771,0.914982423689472,0.9395605617965159,0.9396284740233833,-0.0012557488185880317,-0.0029942299482732583,0.00029461260991302187,False,0.7067025412874823,raw probabilities, the usual default,113.0
meta-learner on log probabilities,combiner,gbmeta,0.9444375,0.9146883730709613,0.9238120360997474,0.9438690392087922,0.9442563696627836,0.9146883730709613,0.9393536894027855,0.9394717328354368,-0.0005289704399904505,-0.0016845676926399461,0.0006016295522264426,False,0.4450087187467361,,84.0
meta-learner C=0.01,meta-hparam,gbmeta,0.944625,0.914972074923705,0.9240529005660141,0.9440942038620028,0.9440254709410301,0.914972074923705,0.9395591914029431,0.9396508450346865,-0.00028810597372375124,-0.0014108889997739987,0.0007914576696399138,False,0.648503379652976,,77.0
meta-learner C=0.1,meta-hparam,gbmeta,0.944625,0.9149605980510725,0.9240299047682394,0.9440823077177242,0.9438191351990582,0.9149605980510725,0.9395591816105127,0.9396364070601543,-0.000311101771498401,-0.0012662109674677403,0.0006035848865795471,False,0.5962416305866569,,57.0
meta-learner C=10.0,meta-hparam,gbmeta,0.94475,0.9150739467892633,0.9241631884238802,0.9442058094562745,0.9442457000041585,0.9150739467892633,0.9396953754355771,0.9397909162468421,-0.00017781811585759755,-0.0009067680197823696,0.0005934157495495638,False,0.7423083940717163,,37.0
best single base model (xgboost),no-ensemble,none,0.943125,0.9157385932906862,0.9163885497775386,0.9430628225811852,0.9188091755246168,0.9157385932906862,0.9379342259664784,0.9380593685233539,-0.007952456762199245,-0.011381696225049694,-0.004157494831686431,True,0.05051172369822609,the number a reviewer will compare the whole framework against,205.0
