ablation,kind,combiner,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_weighted_f1,metric_macro_precision,metric_macro_recall,metric_kappa,metric_mcc,delta,ci_low,ci_high,significant,mcnemar_p,note,n_discordant
full stack (reference),reference,gbmeta/logit,0.9946875,0.9415619749537072,0.9437999772227902,0.9944781763204841,0.9555716911512151,0.9415619749537072,0.9912991031992064,0.9913094451283743,0.0,0.0,0.0,False,1.0,,
-catboost,leave-one-out,gbmeta,0.995,0.9609445052143412,0.9698981012111841,0.9948251890157243,0.9819093012742265,0.9609445052143412,0.9918124066282535,0.9918253369799883,0.02609812398839395,0.00563022639295119,0.04834878040475266,True,0.332305908203125,stack without catboost,17.0
-lightgbm,leave-one-out,gbmeta,0.9945625,0.9543102029821248,0.9491003541196926,0.9944640484614234,0.9473918138801499,0.9543102029821248,0.9910988377953297,0.9911029712544751,0.005300376896902437,-0.004888365502128242,0.0178111530095518,False,0.8388197422027588,stack without lightgbm,24.0
-xgboost,leave-one-out,gbmeta,0.99475,0.9504358988727476,0.9501882997614421,0.9946109894713898,0.9560985476715935,0.9504358988727476,0.9914034128693967,0.9914097440924162,0.006388322538651958,-0.006926479289162043,0.02048487348843082,False,1.0,stack without xgboost,21.0
only catboost,single-base,gbmeta,0.994,0.9528948309843431,0.9480589260232939,0.9938951216044651,0.9467813444320102,0.9528948309843431,0.9901765825794073,0.9901813474525063,0.0042589488005037035,-0.00598561946791343,0.01688135247510408,False,0.09096894797535765,,35.0
only lightgbm,single-base,gbmeta,0.99425,0.9520804419955384,0.9624153680568037,0.9941057173984752,0.9764595954749502,0.9520804419955384,0.9905837020450478,0.9905894708573922,0.018615390834013534,-0.0037498512717094447,0.042530019406424195,False,0.2811980995641761,,31.0
only xgboost,single-base,gbmeta,0.9951875,0.9659625534899544,0.9694054689749351,0.9950510771068936,0.9744237163946031,0.9659625534899544,0.9921215934340746,0.9921314320048275,0.025605491752144882,0.004911620603753092,0.047974327622823984,True,0.13380050659179688,,22.0
soft vote (no meta-learner),combiner,soft_vote,0.99475,0.9664491653055078,0.9667279076885668,0.9946776160825004,0.9675497041835818,0.9664491653055078,0.9914067261536476,0.991409878238529,0.02292793046577657,0.0022491352423126554,0.04609220452009604,True,1.0,,29.0
accuracy-weighted vote,combiner,weighted_vote,0.99475,0.9664491653055078,0.9667279076885668,0.9946776160825004,0.9675497041835818,0.9664491653055078,0.9914067261536476,0.991409878238529,0.02292793046577657,0.0022491352423126554,0.04609220452009604,True,1.0,,29.0
meta-learner on raw probabilities,combiner,gbmeta,0.9948125,0.9578155472934645,0.9551216175183087,0.9946908336724227,0.9568683032556872,0.9578155472934645,0.9915073487716857,0.9915137197446272,0.01132164029551852,-8.439358624322821e-05,0.02570792507262948,False,0.8145294189453125,raw probabilities, the usual default,18.0
meta-learner on log probabilities,combiner,gbmeta,0.9946875,0.9460758023182069,0.9477491734385389,0.9945179559528848,0.9524190244255799,0.9460758023182069,0.9913009791246908,0.9913107481022251,0.00394919621574874,-0.007489108205952757,0.021895567710326583,False,1.0,,4.0
meta-learner C=0.01,meta-hparam,gbmeta,0.9945,0.951724991085167,0.963629502774902,0.994298941327188,0.9805299016601745,0.951724991085167,0.9909913468111189,0.9910050278261621,0.019829525552111815,-0.002667408360651011,0.043726585099321806,False,0.6891565167793516,,25.0
meta-learner C=0.1,meta-hparam,gbmeta,0.995,0.9534797114825276,0.959616440111461,0.9948116724823326,0.971550722986138,0.9534797114825276,0.9918121317162413,0.9918251087842603,0.01581646288867078,0.0016777541049387001,0.03381111612541246,True,0.30175781249999994,,15.0
meta-learner C=10.0,meta-hparam,gbmeta,0.9945625,0.9498419861765,0.9465588489790624,0.9944312407583,0.9475110059720185,0.9498419861765,0.9910967122889592,0.9911030093491692,0.0027588717562722076,-0.005585567449751796,0.01452238999079813,False,0.7744140625,,12.0
best single base model (xgboost),no-ensemble,none,0.99475,0.9697640140267269,0.9658300528254449,0.9946857940124659,0.963651704273259,0.9697640140267269,0.991407432452014,0.9914114865788471,0.022030075602654686,0.001060457457061087,0.04520832445192539,True,1.0,the number a reviewer will compare the whole framework against,29.0
