ablation,kind,combiner,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_weighted_f1,metric_macro_precision,metric_macro_recall,metric_kappa,metric_mcc,delta,ci_low,ci_high,significant,mcnemar_p,note,n_discordant
full stack (reference),reference,gbmeta/logit,0.9855625,0.9559126514352876,0.9422594075926446,0.9858399896664242,0.9309876461366138,0.9559126514352876,0.9730430189000601,0.9730783221102497,0.0,0.0,0.0,False,1.0,,
-catboost,leave-one-out,gbmeta,0.9851875,0.9486554031528677,0.9389838208827739,0.9854102659690426,0.9305869702818311,0.9486554031528677,0.9723315966497241,0.9723620716267206,-0.0032755867098707148,-0.0077523491468570295,0.0009162044409600315,False,0.210113525390625,stack without catboost,16.0
-lightgbm,leave-one-out,gbmeta,0.9845,0.9536730402263341,0.9407041910387649,0.9847874731128999,0.9302360328045415,0.9536730402263341,0.9710180361086496,0.9710422261057154,-0.0015552165538796903,-0.0033780949201416333,0.00021479057617953412,False,0.005348770520482035,stack without lightgbm,33.0
-xgboost,leave-one-out,gbmeta,0.985375,0.9576502874188801,0.9425589282280479,0.9856842701877631,0.9302830727230728,0.9576502874188801,0.972699804888918,0.9727387853269347,0.0002995206354032831,-0.0018624493636146128,0.0030290010635298926,False,0.6072387695312499,stack without xgboost,15.0
only catboost,single-base,gbmeta,0.98075,0.9454866431294727,0.9320838577834382,0.98109394851567,0.9209250139970943,0.9454866431294727,0.9640100359709028,0.9640360990563795,-0.01017554980920643,-0.015156873367376289,-0.005251087454469562,True,3.239810504571003e-12,,119.0
only lightgbm,single-base,gbmeta,0.985,0.9552208748936227,0.9422816910023236,0.9852815092908079,0.9316587896466293,0.9552208748936227,0.9719570973092302,0.9719818531852036,2.2283409679024757e-05,-0.004098185813493943,0.003940591909882443,False,0.21152242941072538,,41.0
only xgboost,single-base,gbmeta,0.98475,0.9505850299579309,0.9416688987559632,0.9849701308501855,0.9341475673297758,0.9505850299579309,0.9714714992641306,0.971491461065968,-0.0005905088366814359,-0.0055401579413537376,0.004436397128416512,False,0.07363827012030257,,45.0
soft vote (no meta-learner),combiner,soft_vote,0.984125,0.9621002993606519,0.9384622398867265,0.9846648086852084,0.9207164604120143,0.9621002993606519,0.970434529768762,0.9705176992555944,-0.003797167705918092,-0.008292148833917193,0.0008650974690680747,False,0.004850300457042111,,61.0
accuracy-weighted vote,combiner,weighted_vote,0.984125,0.9621002993606519,0.9384622398867265,0.9846648086852084,0.9207164604120143,0.9621002993606519,0.970434529768762,0.9705176992555944,-0.003797167705918092,-0.008292148833917193,0.0008650974690680747,False,0.004850300457042111,,61.0
meta-learner on raw probabilities,combiner,gbmeta,0.98525,0.9571520811291677,0.943807170172499,0.9855255700233277,0.9327714427540773,0.9571520811291677,0.9724324555737631,0.9724592509197032,0.0015477625798544503,-0.002525761656566247,0.005508224931548326,False,0.5509849875850935,raw probabilities as meta features,45.0
meta-learner on log probabilities,combiner,gbmeta,0.985625,0.9550535883404928,0.9440227968573053,0.9858448875091131,0.9345666439791621,0.9550535883404928,0.9731431794538958,0.9731706083777448,0.0017633892646606864,-0.00012867052127928658,0.0038856771191880684,False,1.0,,13.0
meta-learner C=0.01,meta-hparam,gbmeta,0.9850625,0.9553437131346179,0.943227714185392,0.9853266664366054,0.9332880673859512,0.9553437131346179,0.9720634105933691,0.9720858456816804,0.0009683065927473811,-0.0022950929064290554,0.004569427842942531,False,0.24334500914875914,,36.0
meta-learner C=0.1,meta-hparam,gbmeta,0.9854375,0.9550380573971868,0.9425190393011451,0.9857093371598072,0.9324236941551204,0.9550380573971868,0.9727664810784169,0.9727883342919762,0.0002596317085005184,-0.001493733818151341,0.0020645456447782066,False,0.8238029479980469,,20.0
meta-learner C=10.0,meta-hparam,gbmeta,0.9855,0.9553220698195343,0.9424998532842797,0.9857612368054396,0.9317753982456785,0.9553220698195343,0.9729241327562158,0.9729585463371054,0.00024044569163506058,-0.001543082397361431,0.0020462861257875657,False,1.0,,9.0
best single base model (lightgbm),no-ensemble,none,0.98475,0.9620857772113537,0.9417086037995418,0.9851854113429281,0.9258576713488272,0.9620857772113537,0.971574197290172,0.9716412136659168,-0.0005508037931027943,-0.005143515404268051,0.004383592096880986,False,0.09928563477135788,the number a reviewer will compare the whole framework against,53.0
