ablation,kind,combiner,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_weighted_f1,metric_macro_precision,metric_macro_recall,metric_kappa,metric_mcc,delta,ci_low,ci_high,significant,mcnemar_p,note,n_discordant
full stack (reference),reference,gbmeta/logit,0.8148125,0.5995440794649054,0.602731779659849,0.8148948057419341,0.6095656997780465,0.5995440794649054,0.7381421614981485,0.7382689765318113,0.0,0.0,0.0,False,1.0,,
-catboost,leave-one-out,gbmeta,0.815125,0.5869448844826395,0.5949584369497125,0.8176536038047945,0.61797146905168,0.5869448844826395,0.7392873058681845,0.7394469452664895,-0.0077733427101365216,-0.02356130886596612,0.005327572428088778,False,0.7869333490922887,stack without catboost,219.0
-lightgbm,leave-one-out,gbmeta,0.8121875,0.5773090583761608,0.585494742356229,0.8088359788980687,0.6003081849327903,0.5773090583761608,0.7332836735048226,0.7335487192673241,-0.01723703730362003,-0.030286649905174597,-0.006872639648257262,True,0.01987795848991415,stack without lightgbm,310.0
-xgboost,leave-one-out,gbmeta,0.81375,0.5874104459940066,0.592899809631897,0.8131601763053352,0.6063910812570354,0.5874104459940066,0.7371904457041689,0.7373972151866642,-0.009831970027951997,-0.024445681933530524,0.003369478409891835,False,0.37626341885270287,stack without xgboost,327.0
only catboost,single-base,gbmeta,0.8085625,0.5800522282974532,0.5832665053783563,0.8085459128152432,0.5945750635154818,0.5800522282974532,0.7298698526972723,0.7302115576515606,-0.019465274281492695,-0.04103482597126514,0.0020309544600932133,False,0.0005123428534217095,,812.0
only lightgbm,single-base,gbmeta,0.813375,0.5743732337685341,0.5796779195662329,0.8151109243943536,0.5955260538268476,0.5743732337685341,0.737069677993732,0.7372555325040441,-0.023053860093616096,-0.040370328724144554,-0.007980054166237482,True,0.28247756661254286,,419.0
only xgboost,single-base,gbmeta,0.8128125,0.5768118687757848,0.5865794415683646,0.8131853105381042,0.6065329752609199,0.5768118687757848,0.7351741529752248,0.7353851241804,-0.01615233809148442,-0.033522718634950294,-0.001970150888827317,True,0.1183451420028424,,394.0
soft vote (no meta-learner),combiner,soft_vote,0.8085,0.6642960128129283,0.6322007182448679,0.8233232413405018,0.6287227144917866,0.6642960128129283,0.7366500755068239,0.7393554784517863,0.029468938585018867,0.01631160596605661,0.04385594453749874,True,0.0022670750196076435,,1073.0
accuracy-weighted vote,combiner,weighted_vote,0.8084375,0.6636559569556373,0.6318285752419482,0.8232728257628938,0.6284615448862456,0.6636559569556373,0.7365583971817506,0.7392619742091066,0.02909679558209921,0.015899142521616554,0.04326142579933655,True,0.002017390742526975,,1070.0
meta-learner on raw probabilities,combiner,gbmeta,0.81525,0.5948501390493494,0.6019662688959979,0.8171263886390011,0.6172918773044659,0.5948501390493494,0.7394538956738275,0.7397089014863713,-0.0007655107638511183,-0.016808818693486435,0.013326169867113841,False,0.7609663253045831,raw probabilities as meta features,389.0
meta-learner on log probabilities,combiner,gbmeta,0.815,0.5964978762514134,0.6016398471249133,0.8132354155471322,0.610876400193642,0.5964978762514134,0.7382668470517998,0.7384773229494181,-0.00109193253493578,-0.007548103947994769,0.0074169287840475,False,0.8811693519712692,,179.0
meta-learner C=0.01,meta-hparam,gbmeta,0.8131875,0.5630920344818398,0.5738315475148599,0.8117278263996263,0.6045583501983439,0.5630920344818398,0.7364064223177423,0.7367609229693133,-0.028900232144989157,-0.047517186380853685,-0.013268127462854733,True,0.16616809943688146,,326.0
meta-learner C=0.1,meta-hparam,gbmeta,0.813875,0.5927195749323623,0.60161100985106,0.8129685195644848,0.6177216736036683,0.5927195749323623,0.7368904091954372,0.7370733940799954,-0.0011207698087890572,-0.0071563165877287695,0.005327306542350917,False,0.1799344791719184,,109.0
meta-learner C=10.0,meta-hparam,gbmeta,0.8149375,0.5974400103965861,0.6031637836265524,0.8159909492942767,0.6159875267492724,0.5974400103965861,0.7384310885119361,0.7385442940015576,0.00043200396670339813,-0.011771574277326372,0.012371638611193047,False,0.8917558535067943,,54.0
best single base model (lightgbm),no-ensemble,none,0.8105625,0.6500326278527312,0.6240987682540217,0.8247596310998854,0.6218874415396656,0.6500326278527312,0.7387168650101231,0.7409239317968065,0.02136698859417263,0.010288250996230746,0.0350620870568274,True,0.03555529523870397,the number a reviewer will compare the whole framework against,1016.0
